"Area","Parameter","N_years","50%","2.5%","25%","75%","97.5%","Evidence"
"Statskog og Klinga utm.","Survival",10,-0.455625257830116,-0.694828271565346,-0.546491255576505,-0.364793126135051,-0.17501385835958,"**"
"Statskog Røros","Lambda",8,-0.729892815342859,-0.868481479069907,-0.779583265791808,-0.678136756287002,-0.582979735421267,"**"
"Statskog Røros","Recruitment",8,0.777658189499926,0.529090073078891,0.704233289132022,0.838921321736878,0.923092850314391,"**"
"Statskog Røros","Survival",8,-0.762949355385475,-0.901499836329308,-0.814629110117486,-0.709477323655188,-0.586358334506588,"**"
"Steinkjer Lirype","Lambda",15,-0.252779559517328,-0.313441432370273,-0.272248041223477,-0.233343646272235,-0.196708127566959,"**"
"Steinkjer Lirype","Recruitment",15,0.54428512234998,0.321360650104113,0.471037920109992,0.604075538846601,0.693909829980861,"**"
"Steinkjer Lirype","Survival",15,-0.54944174216267,-0.691980041199477,-0.594806682001037,-0.510716175280822,-0.441677741419853,"**"
"Stjørdal Fjellstyre","Lambda",14,-0.451088082885307,-0.588734237213702,-0.499646849190991,-0.39963146032416,-0.290891740515138,"**"
"Stjørdal Fjellstyre","Recruitment",14,0.392503872624614,0.190273816951193,0.324821450913977,0.458115929617872,0.576271898816416,"**"
"Stjørdal Fjellstyre","Survival",14,-0.51388036012535,-0.63568162478369,-0.557498113068801,-0.467052422239935,-0.371076994923131,"**"
"Vest Finnmark kyst","Lambda",15,-0.606422826191283,-0.664636748244485,-0.625956287307467,-0.586936824578033,-0.550337074468371,"**"
"Vest Finnmark kyst","Recruitment",15,0.859975106173177,0.779324155327621,0.833687936144073,0.883284803700239,0.920919317391631,"**"
"Vest Finnmark kyst","Survival",15,-0.80591759441873,-0.878187671372747,-0.831011553873312,-0.781068067061921,-0.735382522230826,"**"
"Vestre Slidre Fjellstyre","Lambda",13,-0.443677959771043,-0.53117644939026,-0.472388123086228,-0.415790881366144,-0.364602318454169,"**"
"Vestre Slidre Fjellstyre","Recruitment",13,0.0646403848309658,-0.140810253882569,-0.00743317160313649,0.136522505565427,0.27742948004073,"-"
"Vestre Slidre Fjellstyre","Survival",13,-0.375033449905129,-0.49825831242814,-0.41769987189543,-0.330666428339445,-0.237075567930988,"**"
"Ytre Salten","Lambda",13,-0.61727755689535,-0.736816143071419,-0.656617355592259,-0.580257193209521,-0.511996200907346,"**"
"Ytre Salten","Recruitment",13,-0.253909510848111,-0.483542603163059,-0.335755763836687,-0.170278731300752,0.00983971836382272,"*"
"Ytre Salten","Survival",13,-0.563087270601003,-0.700678412906335,-0.611523550068257,-0.512607534772657,-0.413545156111896,"**"
